Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|    1 |       8 | Best   |      5.3614 |      15.863 |      5.3614 |      5.3614 |            4 |            4 |       compet |      radbasn |
|    2 |       8 | Best   |      3.8149 |      26.118 |      3.8149 |      3.8764 |            4 |           29 |       radbas |       netinv |
|    3 |       8 | Best   |    0.034058 |       660.4 |    0.034058 |     0.30119 |           39 |           11 |      radbasn |       netinv |
|    4 |       8 | Accept |      4.1884 |      34.184 |    0.034058 |     0.10151 |           18 |            4 |       compet |      radbasn |
|    5 |       8 | Accept |      4.8972 |      136.59 |    0.034058 |    0.073586 |            6 |           12 |       compet |      radbasn |
|    6 |       8 | Accept |      4.2681 |      1606.6 |    0.034058 |    0.087195 |            5 |           40 |       radbas |       netinv |
|    7 |       8 | Accept |      1.6386 |        1242 |    0.034058 |     0.11447 |           17 |           40 |      radbasn |       netinv |
|    8 |       8 | Accept |     0.53422 |      16.817 |    0.034058 |     0.34003 |           39 |            2 |      radbasn |       netinv |
|    9 |       8 | Accept |      5.6426 |      2450.6 |    0.034058 |     0.32698 |           25 |           23 |       radbas |       netinv |
|   10 |       8 | Accept |     0.49641 |      1120.8 |    0.034058 |      0.3824 |           40 |           35 |      radbasn |       netinv |
|   11 |       8 | Best   |    0.022448 |      2824.8 |    0.022448 |    0.062003 |           11 |           22 |       tansig |      softmax |
|   12 |       8 | Accept |    0.029183 |      885.67 |    0.022448 |     0.30387 |           35 |           14 |      radbasn |       netinv |
|   13 |       8 | Accept |      1.3882 |      3.8352 |    0.022448 |    0.023138 |            1 |            3 |       tansig |      softmax |
|   14 |       8 | Best   |    0.019609 |        4099 |    0.019609 |    0.019905 |           12 |           16 |      softmax |    elliotsig |
|   15 |       8 | Accept |     0.35962 |      2569.5 |    0.019609 |    0.088148 |           40 |            1 |      radbasn |       netinv |
|   16 |       8 | Accept |     0.60139 |      2933.7 |    0.019609 |    0.063679 |           40 |           37 |      radbasn |       netinv |
|   17 |       8 | Accept |      6.3458 |      4.6299 |    0.019609 |    0.026805 |           35 |            1 |       tansig |      softmax |
|   18 |       8 | Accept |    0.027635 |      99.075 |    0.019609 |    0.031893 |           12 |            3 |       tansig |      softmax |
|   19 |       8 | Accept |     0.36245 |       40.08 |    0.019609 |    0.067772 |            8 |            2 |       tansig |      softmax |
|   20 |       8 | Accept |     0.35287 |      132.48 |    0.019609 |    0.026774 |           14 |            2 |       tansig |      softmax |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   21 |       8 | Accept |    0.036866 |      246.44 |    0.019609 |    0.025156 |            5 |            3 |      softmax |    elliotsig |
|   22 |       8 | Accept |    0.027357 |       457.5 |    0.019609 |   0.0099588 |           11 |            3 |      softmax |    elliotsig |
|   23 |       8 | Accept |      5.3108 |      78.002 |    0.019609 |    0.043285 |           30 |            3 |      radbasn |       netinv |
|   24 |       8 | Accept |    0.025421 |      284.74 |    0.019609 |    0.023142 |           19 |            4 |       tansig |      softmax |
|   25 |       8 | Accept |     0.35229 |      265.52 |    0.019609 |    0.024054 |           23 |            2 |       tansig |      softmax |
|   26 |       8 | Accept |     0.50998 |      6.1009 |    0.019609 |    0.025602 |           10 |            5 |      radbasn |       netinv |
|   27 |       8 | Accept |    0.025785 |      7187.1 |    0.019609 |    0.024928 |            4 |           34 |       logsig |    elliotsig |
|   28 |       8 | Accept |      3.6059 |      4.4324 |    0.019609 |    0.024235 |            3 |            6 |      radbasn |       netinv |
|   29 |       8 | Accept |    0.027182 |      228.89 |    0.019609 |    0.025567 |            9 |            2 |       logsig |    elliotsig |
|   30 |       8 | Best   |    0.019266 |       16474 |    0.019266 |    0.024918 |           21 |           15 |    elliotsig |      softmax |
|   31 |       8 | Accept |      3.6013 |       24763 |    0.019266 |    0.025068 |           38 |           37 |       compet |      radbasn |
|   32 |       8 | Accept |     0.02312 |       20963 |    0.019266 |    0.026092 |            7 |           39 |      softmax |    elliotsig |
|   33 |       8 | Accept |      1.3594 |      30.409 |    0.019266 |    0.025848 |            1 |            6 |    elliotsig |      softmax |
|   34 |       8 | Accept |      6.1666 |      350.31 |    0.019266 |   -0.030091 |            1 |           39 |      softmax |    elliotsig |
|   35 |       8 | Accept |    0.036871 |      71.699 |    0.019266 |   -0.033917 |           37 |            5 |      radbasn |       netinv |
|   36 |       8 | Accept |    0.031043 |      17.923 |    0.019266 |   -0.041255 |           14 |            4 |      radbasn |       netinv |
|   37 |       8 | Accept |      6.0858 |      31.054 |    0.019266 |     0.39853 |           12 |            5 |      radbasn |       netinv |
|   38 |       8 | Accept |      6.3018 |      1.5142 |    0.019266 |     0.65802 |           14 |            1 |       tansig |      softmax |
|   39 |       8 | Accept |      6.1432 |      3.3872 |    0.019266 |      0.6501 |           28 |            1 |       tansig |      softmax |
|   40 |       8 | Accept |    0.060519 |      22.722 |    0.019266 |     0.64402 |           24 |            5 |      radbasn |       netinv |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   41 |       8 | Accept |      6.5519 |      2.7321 |    0.019266 |     0.68939 |           25 |            1 |       tansig |      softmax |
|   42 |       8 | Accept |      5.9564 |      4.7168 |    0.019266 |     0.91238 |           38 |            1 |       tansig |      softmax |
|   43 |       8 | Best   |    0.015171 |       25932 |    0.015171 |     0.90157 |           16 |           25 |       logsig |    elliotsig |
|   44 |       8 | Accept |      4.2643 |      188.08 |    0.015171 |     0.90097 |           29 |            5 |       compet |      radbasn |
|   45 |       8 | Accept |      6.4134 |      2.2272 |    0.015171 |     0.93581 |           20 |            1 |       tansig |      softmax |
|   46 |       8 | Accept |      6.1176 |     0.85348 |    0.015171 |      1.0816 |            4 |            1 |       tansig |      softmax |
|   47 |       8 | Best   |    0.015092 |       34188 |    0.015092 |      1.0353 |           11 |           39 |       tansig |      softmax |
|   48 |       8 | Accept |    0.025639 |      68.544 |    0.015092 |       1.026 |           21 |            6 |      radbasn |       netinv |
|   49 |       8 | Accept |      6.1173 |      1.0458 |    0.015092 |      1.0818 |           10 |            1 |       tansig |      softmax |
|   50 |       8 | Accept |    0.024117 |      558.67 |    0.015092 |        1.05 |           16 |            6 |    elliotsig |      softmax |
|   51 |       8 | Accept |       4.754 |      2.7382 |    0.015092 |      1.0501 |            3 |            2 |       compet |      softmax |
|   52 |       8 | Accept |      3.7988 |      7.1495 |    0.015092 |      1.0486 |           20 |            2 |       compet |      softmax |
|   53 |       8 | Accept |      3.8612 |      58.313 |    0.015092 |      1.0637 |           40 |            2 |       compet |      softmax |
|   54 |       8 | Accept |      0.3702 |      23.181 |    0.015092 |      1.0731 |            4 |            2 |       tansig |      radbasn |
|   55 |       8 | Accept |     0.37173 |      91.422 |    0.015092 |      1.0561 |           12 |            2 |       tansig |      radbasn |
