Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|    1 |       8 | Best   |    0.088594 |      4.0535 |    0.088594 |    0.088594 |            3 |           11 |       logsig |       netinv |
|    2 |       8 | Accept |     0.14833 |      5.2207 |    0.088594 |    0.090969 |            5 |            7 |       netinv |       radbas |
|    3 |       8 | Accept |     0.29233 |       17.74 |    0.088594 |    0.093948 |           35 |            2 |    elliotsig |       compet |
|    4 |       8 | Accept |     0.25159 |      6.9615 |    0.088594 |    0.099994 |            2 |           25 |       logsig |       netinv |
|    5 |       8 | Accept |     0.10329 |      16.903 |    0.088594 |    0.094132 |           16 |           11 |       logsig |       netinv |
|    6 |       8 | Accept |     0.16181 |      5.3368 |    0.088594 |    0.097261 |            3 |           10 |       logsig |       netinv |
|    7 |       8 | Accept |     0.31809 |      13.625 |    0.088594 |     0.19486 |           14 |           12 |       logsig |       netinv |
|    8 |       8 | Accept |     0.26019 |      6.4427 |    0.088594 |     0.20303 |            3 |           14 |       logsig |       netinv |
|    9 |       8 | Best   |    0.057937 |      189.73 |    0.057937 |     0.18691 |            2 |            5 |       logsig |       netinv |
|   10 |       8 | Accept |     0.11055 |      1.8241 |    0.057937 |     0.17927 |            4 |            5 |       logsig |       netinv |
|   11 |       8 | Accept |    0.058822 |      7.1876 |    0.057937 |    0.079318 |            5 |            5 |       logsig |       netinv |
|   12 |       8 | Accept |     0.32405 |      343.31 |    0.057937 |     0.10323 |           32 |           31 |       tansig |       netinv |
|   13 |       8 | Best   |    0.053312 |      14.929 |    0.053312 |    0.099426 |            2 |            5 |       logsig |       radbas |
|   14 |       8 | Best   |  0.00077047 |      577.19 |  0.00077047 |    0.010379 |            6 |           30 |    elliotsig |       tribas |
|   15 |       8 | Accept |   0.0045382 |      325.48 |  0.00077047 |    0.090629 |            6 |            5 |       tansig |       radbas |
|   16 |       8 | Accept |     0.10707 |      89.709 |  0.00077047 |    0.094403 |            2 |            1 |       logsig |       netinv |
|   17 |       8 | Accept |     0.02424 |      96.558 |  0.00077047 |    0.098899 |            3 |           12 |       logsig |       radbas |
|   18 |       8 | Accept |   0.0011083 |      953.34 |  0.00077047 |    0.099827 |           14 |            8 |      radbasn |       radbas |
|   19 |       8 | Accept |    0.060695 |      119.08 |  0.00077047 |     0.10014 |           10 |           26 |       netinv |       radbas |
|   20 |       8 | Accept |     0.11828 |      361.43 |  0.00077047 |    0.098558 |           38 |            1 |       logsig |       radbas |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   21 |       8 | Best   |  0.00035998 |      2737.1 |  0.00035998 |    0.036546 |           10 |           38 |       tribas |       tansig |
|   22 |       8 | Accept |     0.23746 |      2400.2 |  0.00035998 |    0.031971 |           25 |           16 |       logsig |       netinv |
|   23 |       8 | Accept |      0.2581 |      1.5142 |  0.00035998 |    0.077586 |            4 |            2 |       logsig |       netinv |
|   24 |       8 | Accept |     0.29687 |      1.8451 |  0.00035998 |    0.080428 |            5 |            4 |       netinv |       radbas |
|   25 |       8 | Accept |    0.053528 |      35.738 |  0.00035998 |     0.06318 |            2 |            9 |       logsig |       radbas |
|   26 |       8 | Accept |     0.05628 |      28.726 |  0.00035998 |    0.058649 |            2 |            3 |       logsig |       radbas |
|   27 |       8 | Accept |     0.24458 |      38.946 |  0.00035998 |      0.0618 |            2 |           40 |       logsig |       netinv |
|   28 |       8 | Accept |   0.0051324 |      910.17 |  0.00035998 |    0.048009 |            4 |           25 |       logsig |       radbas |
|   29 |       8 | Accept |     0.31985 |      3790.1 |  0.00035998 |    0.046433 |           32 |            5 |       logsig |       netinv |
|   30 |       8 | Accept |    0.082335 |      17.337 |  0.00035998 |    0.046488 |            5 |           13 |       netinv |       radbas |
|   31 |       8 | Accept |  0.00036045 |      2187.3 |  0.00035998 |    0.045344 |           17 |           31 |    elliotsig |       tribas |
|   32 |       8 | Accept |     0.25136 |      342.49 |  0.00035998 |    0.045119 |           35 |           15 |    elliotsig |       compet |
|   33 |       8 | Best   |  0.00035696 |      1913.5 |  0.00035696 |    0.015253 |           26 |           15 |    elliotsig |       tribas |
|   34 |       8 | Accept |     0.10311 |      7.1284 |  0.00035696 |    0.045714 |            1 |            9 |    elliotsig |       tribas |
|   35 |       8 | Accept |    0.055928 |      5.3423 |  0.00035696 |     0.02016 |            2 |            7 |    elliotsig |       tribas |
|   36 |       8 | Accept |    0.097651 |      6.5962 |  0.00035696 |    0.020671 |            1 |           11 |    elliotsig |       tribas |
|   37 |       8 | Accept |     0.10197 |      108.05 |  0.00035696 |     0.04528 |            1 |           29 |    elliotsig |       tribas |
|   38 |       8 | Accept |    0.070162 |        34.4 |  0.00035696 |    0.045599 |            4 |            2 |       logsig |    elliotsig |
|   39 |       8 | Accept |    0.054726 |      7.0143 |  0.00035696 |     0.04525 |            2 |            6 |    elliotsig |       tribas |
|   40 |       8 | Best   |  0.00030907 |       10405 |  0.00030907 |    0.044888 |           30 |           10 |       radbas |       tansig |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   41 |       8 | Accept |     0.33097 |      1.0925 |  0.00030907 |    0.044538 |            5 |            1 |       netinv |       netinv |
|   42 |       8 | Accept |   0.0043828 |      69.131 |  0.00030907 |    0.044637 |            8 |            5 |       radbas |       tansig |
|   43 |       8 | Best   |  0.00027026 |      7468.1 |  0.00027026 |    0.044883 |           39 |           35 |       tribas |       tansig |
|   44 |       8 | Accept |    0.001388 |      676.64 |  0.00027026 |    0.014027 |            8 |            8 |       radbas |       tansig |
|   45 |       8 | Accept |   0.0020211 |      876.33 |  0.00027026 |    0.010352 |            8 |           10 |       radbas |       tansig |
|   46 |       8 | Accept |  0.00073225 |      171.34 |  0.00027026 |    0.010279 |           21 |            9 |       tribas |       tansig |
|   47 |       8 | Accept |     0.33447 |       1.257 |  0.00027026 |   0.0095113 |            5 |            7 |       netinv |       netinv |
|   48 |       8 | Accept |    0.054742 |      76.484 |  0.00027026 |    0.018257 |            7 |            2 |       radbas |       tansig |
|   49 |       8 | Accept |     0.33424 |      165.01 |  0.00027026 |    0.018297 |            5 |            4 |    elliotsig |       netinv |
|   50 |       8 | Accept |  0.00095459 |      126.55 |  0.00027026 |    0.018138 |           21 |            8 |       tribas |       tansig |
|   51 |       8 | Accept |     0.11433 |      20.013 |  0.00027026 |    0.032509 |            8 |            1 |       radbas |       tansig |
|   52 |       8 | Accept |   0.0015772 |      57.498 |  0.00027026 |   0.0053878 |           21 |            5 |       tribas |       tansig |
|   53 |       8 | Accept |   0.0013811 |      141.25 |  0.00027026 |   0.0038456 |           21 |            6 |       tribas |       tansig |
|   54 |       8 | Accept |    0.056114 |      39.605 |  0.00027026 |     0.01139 |           21 |            2 |       tribas |       tansig |
|   55 |       8 | Accept |   0.0002794 |      7669.2 |  0.00027026 |    0.011454 |           39 |           36 |    elliotsig |       tribas |
